rank,name,ioc,dob
614,Luis Carlos Alvarez,MEX,2004-09-03
615,Ricardas Berankis,LTU,1990-06-21
616,Egor Agafonov,RUS,2002-09-05
617,Alexander Weis,ITA,1997-04-24
618,Michal Krajci,SVK,2005-01-14
619,Imanol Lopez Morillo,ESP,1999-11-18
620,Daniel Siniakov,CZE,2003-01-15
621,Yassine Dlimi,MAR,2003-05-05
622,Mariano Kestelboim,ARG,1996-02-06
623,Nikolay Vylegzhanin,RUS,2000-04-18
624,Karlis Ozolins,LAT,2002-06-15
625,S D Prajwal Dev,IND,1996-05-27
626,Pawit Sornlaksup,THA,1999-08-24
627,Nino Ehrenschneider,GER,2001-03-31
628,Adrian Oetzbach,GER,1997-10-29
629,Yurii Dzhavakian,UKR,1993-05-07
630,Mate Valkusz,HUN,1998-08-13
631,Jakub Nicod,CZE,2004-07-21
632,Tadeas Paroulek,CZE,1999-12-30
633,Maxence Beauge,FRA,2000-06-08
634,Kuan Yi Lee,TPE,1996-09-09
635,Aziz Ouakaa,TUN,1999-08-07
636,Kenta Miyoshi,JPN,2004-03-16
637,Tiago Torres,POR,2002-07-08
638,Marcel Zielinski,POL,2000-10-27
639,Yan Bai,CHN,1989-05-21
640,Elmar Ejupovic,GER,1993-02-01
641,Peter Makk,HUN,2001-10-20
642,Lorenzo Sciahbasi,ITA,2005-11-04
643,Woobin Shin,KOR,2004-01-20
644,Emilien Demanet,BEL,2005-04-25
645,Yanis Ghazouani Durand,FRA,2000-07-04
646,Yusuke Kusuhara,JPN,1997-08-09
647,Michael Bassem Sobhy,EGY,2004-05-07
648,Mitsuki Wei Kang Leong,MAS,2004-08-06
649,Mika Petkovic,GER,2006-12-29
650,Giovanni Oradini,ITA,1997-09-14
651,Johan Alexander Rodriguez Rodriguez,COL,2003-09-26
652,Karue Sell,BRA,1993-11-13
653,Yuta Kawahashi,JPN,1998-01-26
654,Igor Kudriashov,RUS,2003-09-27
655,Santiago De La Fuente,ARG,2002-02-06
656,Timofei Derepasko,RUS,2007-01-07
657,Dominik Kellovsky,CZE,1996-07-24
658,Bruno Fernandez,BRA,2004-07-26
659,Giuseppe La Vela,ITA,2000-10-16
660,Kyle Kang,USA,2005-01-27
661,Tristan Lamasine,FRA,1993-03-05
662,Aidan Kim,USA,2004-11-24
663,Radu David Turcanu,ROU,2006-03-16
664,John Echeverria,ESP,2001-11-30
665,Yuta Kikuchi,JPN,1999-09-27
666,Leonardo Rossi,ITA,2002-08-05
667,Duncan Chan,CAN,2005-07-29
668,James Watt,NZL,2000-06-09
669,Iliyan Radulov,BUL,2005-06-11
670,Maximo Zeitune,ARG,2007-03-28
671,Daniel De Jonge,NED,1999-08-17
672,Ryan Dickerson,USA,1997-05-08
673,Gavin Young,USA,2002-09-17
674,Aidan Mayo,USA,2003-05-14
675,Naoki Nakagawa,JPN,1996-11-19
676,Rigele Te,CHN,1997-10-09
677,Kaylan Bigun,USA,2006-05-23
678,Chase Ferguson,AUS,1999-01-02
679,Toufik Sahtali,ALG,1999-01-07
680,Nicolas Tepmahc,FRA,2001-05-23
681,Pierluigi Basile,ITA,2007-01-07
682,Shintaro Imai,JPN,1993-09-07
683,Ilya Ivashka,BLR,1994-02-24
684,Michael Agwi,IRL,2003-09-04
685,Maximilian Neuchrist,AUT,1991-07-22
686,Yaroslav Demin,RUS,2005-08-30
687,Alexander Donski,BUL,1998-08-01
688,Andres Santamarta Roig,ESP,2007-01-23
689,Daniel Antonio Nunez,CHI,2001-06-02
690,Maik Steiner,GER,1994-06-19
691,Ali Yazdani,IRI,2003-09-09
692,Michiel De Krom,NED,1998-06-27
693,Dimitris Sakellaridis,GRE,2006-04-30
694,Arthur Reymond,FRA,1999-04-02
695,Samuel Vincent Ruggeri,ITA,2002-05-22
696,Cruz Hewitt,AUS,2008-12-11
697,Sora Fukuda,JPN,1997-10-03
698,Leo Raquillet,FRA,2005-10-04
699,Matteo Covato,ITA,2005-05-04
700,Ignacio Monzon,ARG,1998-01-05
701,Guillaume Dalmasso,FRA,2002-10-14
702,Leo Vithoontien,JPN,1999-08-18
703,Cooper Williams,USA,2005-06-17
704,Conner Huertas Del Pino,PER,1995-12-20
705,Toby Alex Kodat,USA,2003-01-13
706,Matyas Cerny,CZE,2001-10-15
707,Alan Magadan,MEX,2001-05-26
708,Kyle Edmund,GBR,1995-01-08
709,Pablo Martinez Gomez,ESP,2006-03-10
710,Facundo Juarez,ITA,1997-09-23
711,Matisse Bobichon,FRA,2002-01-16
712,Rodrigo Alujas,MEX,2002-08-26
713,Strong Kirchheimer,USA,1995-04-26
714,Peter Bertran,DOM,1996-03-05
715,Ye Cong Mo,CHN,2000-06-26
716,Uisung Park,KOR,2000-09-27
717,Gabriele Pennaforti,ITA,2000-09-14
718,Samuel Heredia,COL,2006-06-07
719,Emil Ruusuvuori,FIN,1999-04-02
720,Lucas Gerch,GER,1994-12-20
721,Govind Nanda,USA,2001-02-17
722,Abel Forger,NED,2005-07-25
723,Shinji Hazawa,JPN,1999-04-12
724,Benjamin Torrealba,CHI,2005-06-23
725,Ben Jones,GBR,1998-05-19
726,Matthew Summers,GBR,1998-09-25
727,William Grant,USA,2001-02-13
728,Ryan Fishback,USA,2002-04-27
729,Max Hans Rehberg,GER,2003-09-13
730,Damien Wenger,SUI,2000-03-17
731,Anton Shepp,NZL,2002-10-30
732,Daniil Ostapenkov,BLR,2003-05-08
733,Mwendwa Mbithi,USA,1998-01-10
734,Alejandro Juan Mano,ESP,2005-01-14
735,Maxence Bertimon,FRA,1999-09-20
736,Matt Kuhar,USA,1996-06-17
737,Yanaki Milev,BUL,2004-04-15
738,Evan Zhu,USA,1998-08-15
739,Maximilian Marterer,GER,1995-06-15
740,Alexis Gautier,FRA,1997-04-07
741,Jose Pereira,BRA,1991-01-26
742,Stijn Slump,NED,1999-01-21
743,Fitriadi M Rifqi,INA,1999-01-23
744,Pierre Delage,FRA,2001-01-22
745,Marlon Vankan,GER,2000-08-27
746,Loann Massard,FRA,2005-07-27
747,Diego Augusto Barreto Sanchez,ESP,2002-04-18
748,Tim Handel,GER,1996-10-18
749,Aleksandr Braynin,UKR,1999-08-29
750,Federico Coria,ARG,1992-03-09
751,Pierre Yves Bailly,BEL,2003-10-15
752,Blu Baker,GBR,2001-08-28
753,Tuncay Duran,TUR,2004-06-02
754,Linang Xiao,CHN,2000-03-18
755,Keisuke Saitoh,JPN,2001-04-29
756,Kai Wehnelt,GER,1995-11-27
757,Josip Simundza,CRO,2004-12-20
758,Oscar Jose Gutierrez,BRA,1993-04-25
759,Fryderyk Lechno Wasiutynski,POL,2005-03-20
760,Ji Sung Nam,KOR,1993-08-15
761,Pavel Lagutin,RUS,2005-03-06
762,Theo Papamalamis,FRA,2006-01-09
763,Matyas Fuele,HUN,1998-12-22
764,Luca Wiedenmann,GER,1998-04-28
765,Tomas Farjat,ARG,2001-02-15
766,Kenny De Schepper,FRA,1987-05-29
767,Nicholas David Ionel,ROU,2002-10-12
768,Renzo Olivo,ARG,1992-03-15
769,Alejandro Manzanera Pertusa,ESP,2003-04-08
770,Nikolai Barsukov,GER,
771,Kris Van Wyk,RSA,1996-09-29
772,Nicolas Villalon,CHI,2004-02-21
773,Melios Efstathiou,CYP,
774,John Sperle,GER,2002-01-30
775,Samuel Alejandro Linde Palacios,COL,2007-10-25
776,Oscar Weightman,GBR,2001-11-19
777,Jack Anthrop,USA,2003-11-05
778,Nikita Bilozertsev,UKR,2008-11-28
779,Oskar Brostrom Poulsen,DEN,2002-01-15
780,Dennis Novak,AUT,1993-08-28
781,Evgeny Tyurnev,RUS,1997-04-08
782,Alex Knaff,LUX,1997-11-26
783,Attila Boros,HUN,2003-12-22
784,Lorenzo Angelini,ITA,
785,Luca Castagnola,ITA,2002-06-14
786,Enzo Couacaud,FRA,1995-03-01
787,Lucas Andrade Da Silva,BRA,2005-01-25
788,Roger Pascual Ferra,ESP,2006-03-11
789,Jozef Kovalik,SVK,1992-11-04
790,Ryan Colby,USA,2003-09-18
791,Patrick Schoen,SUI,2005-05-04
792,Scott Jones,AUS,1998-01-14
793,Jacob Bradshaw,AUS,2002-10-23
794,Axel Garcian,FRA,2002-06-07
795,Gabriel Ghetu,ROU,2007-11-07
796,Felix Corwin,USA,1996-05-26
797,Lorenzo Rottoli,ITA,2002-02-19
798,Amaury Raynel,FRA,2002-06-29
799,Tianhui Zhang,CHN,2006-02-19
800,Hunter Heck,USA,2002-05-15
801,Pedro Rodrigues,BRA,2006-04-05
802,Khumoyun Sultanov,UZB,1998-10-27
803,Gian Luca Tanner,SUI,2001-01-12
804,Marko Miladinovic,SRB,2000-12-07
805,Juan Carlos Aguilar,CAN,1998-11-20
806,Matt Ponchet,FRA,2004-06-22
807,Mikalai Haliak,BLR,1998-08-14
808,Jorge Plans,ESP,2002-01-28
809,Yannik Kelm,GER,2005-02-17
810,Fausto Tabacco,ITA,2002-05-13
811,Tomas Curras Abasolo,ESP,2000-05-02
812,Albert Pedrico Kravtsov,ESP,2005-06-12
813,Pedro Rodenas,ESP,2004-03-30
814,Arklon Huertas Del Pino,PER,1994-07-16
815,Dong Ju Kim,KOR,2002-04-09
816,Alec Beckley,RSA,2001-06-18
817,Kristijan Juhas,SRB,2001-06-04
818,Alejandro Turriziani Alvarez,ESP,2003-02-12
819,Manish Sureshkumar,IND,1999-08-13
820,Nikola Slavic,SWE,2000-09-26
821,Izan Almazan Valiente,ESP,2006-03-02
822,Amit Vales,ISR,2005-06-07
823,Thiago Cigarran,ARG,2000-03-26
824,Francisco Rocha,POR,1999-10-04
826,Wishaya Trongcharoenchaikul,THA,1995-04-08
827,Bautista Vilicich,ARG,2001-10-05
828,Martin Van Der Meerschen,BEL,2000-06-14
829,Joshua Charlton,AUS,1999-07-29
830,Romain Faucon,BEL,2002-09-04
831,John Hallquist Lithen,SWE,2001-12-03
832,Andrea Fiorentini,ITA,2001-02-02
833,Michael Antonius,USA,
834,Thijs Boogaard,NED,2008-07-05
835,Tiago Cacao,POR,1998-02-28
836,Natan Rodrigues,BRA,2002-02-02
837,Maximilian Homberg,GER,2003-01-25
838,Kasra Rahmani,IRI,2006-09-07
839,Ignacio Parisca,VEN,2005-08-20
840,Wilson Leite,BRA,1991-11-06
841,Axel Nefve,USA,2000-07-22
842,Nicolas Zanellato,BRA,2002-01-22
843,Dragos Nicolae Cazacu,ROU,2004-02-10
844,Samir Hamza Reguig,ALG,2002-01-19
845,Adrien Gobat,FRA,2001-07-10
846,Duck Hee Lee,KOR,1998-05-29
847,Lorenzo Bocchi,ITA,1997-11-29
848,Jakub Filip,CZE,2005-09-25
849,Taiyo Yamanaka,JPN,2001-09-05
850,Iannis Miletich,ITA,2005-08-27
851,Taisei Ichikawa,JPN,2000-12-21
852,Gregoire Barrere,FRA,1994-02-16
853,Christian Sigsgaard,DEN,1997-03-14
854,Jeffrey Von Der Schulenburg,SUI,2002-02-13
855,Andreja Petrovic,NOR,2000-02-01
856,Vincent Marysko,GER,2006-02-04
857,Daniel Salazar Martinez,COL,2001-03-21
858,Thanapet Chanta,THA,1999-09-09
859,Joao Victor Couto Loureiro,BRA,2003-03-28
860,Carles Hernandez,ESP,2001-04-25
861,Dinko Dinev,BUL,2004-02-13
862,Hoyoung Roh,KOR,2006-04-20
863,Marc Van Der Merwe,RSA,1994-08-18
864,Jack Kennedy,USA,
865,Xiaofei Wang,CHN,2003-01-10
866,Rafael Izquierdo Luque,ESP,2000-01-10
867,Victor Lilov,USA,2004-02-11
868,Artur Kukasian,RUS,2004-03-21
869,Seydina Andre,SEN,2003-08-08
870,Gustavo Ribeiro De Almeida,BRA,2006-04-19
871,Luca Pow,GBR,2005-02-01
872,Joao Domingues,POR,1993-10-05
873,Petros Tsitsipas,GRE,2000-07-27
874,Gabriele Bosio,ITA,2000-11-25
875,Anas Mazdrashki,BUL,
876,Emon Van Loben Sels,USA,2004-12-19
877,Fernando Cavallo,ARG,2005-12-13
878,Michel Hopp,GER,1998-12-21
879,Jacob Brumm,USA,1998-11-30
880,Evan Bynoe,USA,1999-05-27
881,Niccolo Catini,ITA,1997-12-09
882,Finn Murgett,GBR,2001-09-17
883,Nicolas Jadoun,FRA,2002-08-09
884,Thanasi Kokkinakis,AUS,1996-04-10
885,Manuel Plunger,ITA,2002-07-13
886,Nicolas Ian Kotzen,USA,2003-03-22
887,Johannes Ingildsen,DEN,1997-07-01
888,Mikael Ymer,SWE,1998-09-09
889,Patrick Brady,GBR,2004-11-14
890,Alexander Vasilev,BUL,2007-05-14
891,Noah Zamora,USA,2003-03-13
892,Charlie Robertson,GBR,2006-10-07
893,Ivan Nedelko,RUS,1986-05-12
894,Giorgio Tabacco,ITA,2003-08-06
895,Luca Preda,ROU,2006-03-19
896,Lautaro Agustin Falabella,ARG,1998-01-19
897,Marc Majdandzic,GER,2005-02-04
898,Mert Naci Turker,TUR,1998-08-16
899,Benjamin Pietri,FRA,1996-07-31
900,Ilya Snitari,MDA,2002-03-20
901,Julio Cesar Porras,ARG,1998-02-25
902,Daisuke Sumizawa,JPN,1999-01-31
903,Jumpei Yamasaki,JPN,1997-07-02
904,Mykyta Mashtakov,UKR,1999-03-18
905,Marcus Walters,GBR,1998-04-03
906,Younes Lalami Laaroussi,MAR,2001-04-18
907,Fermin Tenti,ARG,1997-06-14
908,Jesse Delaney,AUS,1998-11-14
909,Andrew Johnson,USA,2009-08-23
910,Matthew Forbes,USA,2006-04-06
911,Theodore Dean,USA,2002-03-25
912,Aoran Wang,CHN,1997-02-05
913,Calvin Mueller,GER,2000-06-20
914,Shunsuke Nakagawa,JPN,2000-03-07
915,Enzo Kohlmann De Freitas,BRA,2006-09-16
916,Christopher Li,PER,2003-07-15
917,Carles Cordoba,ESP,
918,Peter Buldorini,ITA,2004-08-09
919,Yaojie Zeng,CHN,2002-01-30
920,Paul Inchauspe,FRA,2004-02-25
921,Jamie Mackenzie,GER,
922,Aleksa Ciric,SRB,2000-06-21
923,Aleksandr Lobanov,RUS,2001-04-01
924,Stijn Paardekooper,NED,2003-08-29
925,Salvador Price,COL,2005-02-19
926,Ajeet Rai,NZL,1999-01-18
927,Pietro Romeo Scomparin,ITA,2001-04-07
928,Qian Sun,CHN,2001-07-12
929,Nitin Kumar Sinha,IND,1999-02-20
930,Dev Javia,IND,2002-03-16
931,Benjamin Thomas George,CAN,2002-12-20
932,Niklas Schell,GER,1999-01-03
933,Mihai Razvan Marinescu,ROU,2001-09-09
934,Kosuke Ogura,JPN,1996-02-09
935,Grigoriy Lomakin,KAZ,1998-03-18
936,Zoran Ludoski,SRB,2005-06-16
937,Micah Braswell,USA,2001-11-04
938,Tomas Martinez,ARG,2003-08-24
939,Miles Jones,USA,2000-12-26
940,Stefano Dagostino,ITA,2003-11-03
941,Pedro Araujo,POR,2002-03-26
942,Naoya Honda,JPN,2006-03-15
943,Daniele Rapagnetta,ITA,2006-12-03
944,Lucca Helguera Casado,ESP,2005-12-01
945,Sander Jong,NED,2000-05-18
946,Spencer Johnson,USA,2003-01-15
947,Gianluca Brunkow,USA,2002-10-12
948,Dominique Rolland,USA,2004-10-18
949,Yunseong Chung,KOR,1998-03-27
950,Isaac Becroft,NZL,2000-10-29
951,William Rejchtman Vinciguerra,SWE,2007-02-10
952,Ewen Lumsden,GBR,2000-02-17
953,Noah Schachter,USA,1999-09-06
954,Yuto Oki,JPN,
955,David Pichler,AUT,1996-02-19
956,Ozan Baris,USA,2004-03-31
957,Taym Al Azmeh,GER,2004-03-31
958,Filip Pieczonka,POL,2004-04-09
959,Egor Gerasimov,BLR,1992-11-11
960,Kacper Szymkowiak,POL,2004-12-10
961,Lucas Bouquet,FRA,1997-08-05
962,Alvin Nicholas Tudorica,CAN,2002-02-13
963,Thantub Suksumrarn,THA,2001-05-18
964,Maxim Shin,UZB,2003-06-04
965,Egor Pleshivtsev,RUS,
966,Sydney Zick,GER,2007-01-12
967,Rares Teodor Pieleanu,ROU,2007-02-10
968,Gabriele Maria Noce,ITA,1995-10-29
969,Lorenzo Lorusso,ITA,2000-01-06
970,Jeremy Gschwendtner,GBR,1998-08-21
971,Giannicola Misasi,ITA,2000-09-12
972,Michael Zhu,USA,1992-08-12
973,Daniil Sarksian,RUS,2006-06-20
974,Nicolas Barrientos,COL,1987-04-24
975,Dylan Dietrich,SUI,2004-09-22
976,Aslan Karatsev,RUS,1993-09-04
977,Trey Hilderbrand,USA,2000-05-15
978,Alex Kuperstein,USA,1998-12-15
979,Ronit Karki,USA,2007-11-23
980,Kalin Ivanovski,MKD,2004-05-11
981,Bastian Malla,CHI,1996-09-22
982,Enzo Wallart,FRA,1997-02-12
983,Ryotaro Taguchi,JPN,2000-06-30
984,Louis Larue,FRA,2004-05-29
985,Juan Sebastian Osorio,COL,1997-10-14
986,Karl Friberg,SWE,1999-03-25
987,Adan Freire Da Silva,FRA,1999-05-05
988,Brian Bozemoj,NED,2003-11-30
989,Diego Fernandez Flores,CHI,2000-10-07
990,Ezekiel Clark,USA,1998-07-19
991,Franco Ribero,ARG,1999-09-09
992,Alaa Trifi,TUN,2007-01-16
993,Mateo Barreiros Reyes,BRA,2000-12-14
994,Kuang Qing Xu,CHN,2006-06-18
995,Andrew Delgado,USA,2005-05-22
996,Dante Pagani,ARG,
997,Ziga Sesko,SLO,2008-07-27
998,Suk Hyun Choo,KOR,2001-04-29
999,Lorenzo Gagliardo,ITA,2000-06-27
1000,Markus Malaszszak,GER,2004-07-08
1001,Justin Schlageter,GER,2001-03-09
1002,Zach Stephens,GBR,2006-05-23
1003,Tom Zeuch,GER,2000-02-17
1004,Bekkhan Atlangeriev,RUS,2001-03-12
1005,Alexander Klintcharov,NZL,1996-08-25
1006,Tymur Bieldiugin,UKR,2005-10-16
1007,Pieter De Lange,NED,
1008,Ruslan Tiukaev,RUS,2005-06-08
1009,Chen Dong,AUS,2002-11-20
1010,Vignesh Gogineni,USA,
1011,Nicolas Oliveira,BRA,2006-04-14
1012,Ryan Seggerman,USA,1999-08-06
1013,Keegan Rice,CAN,2006-06-20
1014,Dominik Recek,CZE,1995-02-19
1015,Benjamin Winter Lopez,ESP,1998-05-27
1016,Oliver Bonding,GBR,2007-06-18
1017,Ryo Tabata,JPN,2008-01-06
1018,Alexander Kotzen,USA,2000-07-01
1019,Maxwell Exsted,USA,2007-03-12
1020,Grigory Shebekin,RUS,2005-05-14
1021,Simeon Stankovic,SRB,
1022,Geun Jun Kim,KOR,2001-07-27
1023,Joao Vitor Scramin Do Lago,BRA,2006-06-02
1024,Jesse Flores,CRC,1995-03-31
1025,Chirag Duhan,IND,2004-01-01
1026,Zura Tkemaladze,GEO,2000-06-04
1027,Evgeny Philippov,RUS,2002-02-06
1028,Andrea De Marchi,ITA,2007-01-12
1028,Sam Ryan Ziegann,AUS,1998-07-25
1030,Ezequiel Monferrer,ARG,2003-05-16
1031,Pietro Marino,ITA,2001-06-03
1032,Pavlos Tsitsipas,GRE,2005-07-23
1033,J J Wolf,USA,1998-12-21
1034,Orlando Luz,BRA,1998-02-08
1035,Cem Ilkel,TUR,1995-08-21
1036,Oscar Otte,GER,1993-07-16
1037,Simon Reveniau,FRA,1998-04-01
1038,Niels Mcdonald,GER,2008-01-26
1039,Leonardo Aboian,ARG,1998-04-20
1040,Joris De Loore,BEL,1993-04-21
1041,Benoit Paire,FRA,1989-05-08
1042,Julian Cundom,ARG,2001-04-10
1043,Vladislav Melnic,ROU,1999-06-23
1044,Finn Bass,GBR,1999-10-09
1045,Keshav Chopra,USA,2001-10-24
1046,Marko Maksimovic,SRB,2006-02-12
1047,Volodymyr Iakubenko,UKR,2005-07-19
1048,Nicolas Ifi,BEL,1998-06-20
1049,Jangjun Kim,KOR,2006-12-18
1050,Savriyan Danilov,RUS,2000-06-03
1051,Kristjan Tamm,EST,1998-06-16
1052,Hanyi Liu,CHN,2001-05-23
1053,Billy Suarez,USA,
1054,Valentin Basel,ARG,2004-06-02
1055,Karim Ibrahim,EGY,2003-08-07
1056,Saveliy Ivanov,RUS,2004-09-22
1057,Matias Ponce De Leon Gomila,ESP,2003-06-06
1058,Jason Jung,TPE,1989-06-15
1059,Sebastian Dominko,SLO,2003-05-13
1060,Oliver Okonkwo,GBR,2000-04-08
1061,Mikael Arseneault,CAN,2007-01-18
1062,James Van Herzeele,THA,
1062,Maan Kesharwani,IND,
1064,Hazem Naw,SYR,2000-01-01
1065,Koray Kirci,TUR,1998-08-17
1066,Mathieu Scaglia,FRA,1998-11-23
1067,Mika Lipp,GER,2003-10-10
1068,Mateo Del Pino,ARG,2003-06-28
1069,Nicolas Parizzia,SUI,1998-09-15
1070,Oliver Anderson,AUS,1998-04-30
1071,Joao Vitor Goncalves Ceolin,BRA,1999-05-03
1072,Aljaz Jeran,SLO,2003-10-23
1073,Demetris Azoides,GRE,2000-10-09
1074,Tomas Luis,POR,2002-03-13
1075,Hugo Pierre,FRA,1996-03-13
1076,Jacopo Bilardo,ITA,2004-11-04
1077,Matthias Ujvary,AUT,2004-07-05
1078,Zhe Li,CHN,1986-09-20
1079,Devin Badenhorst,RSA,2004-05-20
1080,Benito Sanchez Martinez,GER,2002-04-30
1081,Pedro Cachin,ARG,1995-04-12
1082,Adam Jilly,HUN,2006-12-12
1083,Gergely Madarasz,HUN,1994-10-01
1084,Vlado Jankanj,SRB,
1085,Martin Borisiouk,BLR,2000-07-04
1086,Evgeny Karlovskiy,RUS,1994-08-07
1087,Mario Martinez Serrano,ESP,2004-06-02
1088,Cezar Gabriel Papoe,ROU,2007-09-20
1089,Thiago Agustin Pernas,ARG,2001-06-04
1090,Rohan Mehra,IND,2002-05-22
1091,Shu Matsuoka,JPN,2003-09-11
1092,Adrian Andreev,BUL,2001-05-12
1093,Matt Hulme,AUS,1999-02-17
1094,Alen Mujakic,GER,2003-07-26
1095,Hayden Jones,AUS,2006-08-30
1096,Marcello Serafini,ITA,2002-08-25
1097,Elgin Khoeblal,NED,2001-09-29
1098,Michele Mecarelli,ITA,2007-04-28
1099,Robert Guna,ROU,2005-08-31
1100,Rocco Piatti,MON,2004-08-02
1101,Nikola Djosic,SUI,2007-09-09
1102,Tristan Stringer,USA,2005-10-18
1103,Rafael De Alba,MEX,
1104,Noel Larwig,GER,2001-09-21
1105,Ishaque Eqbal,IND,1998-01-17
1106,Ammar Alhogbani,USA,1998-12-15
1107,Piet Luis Pinter,AUT,2005-06-07
1108,Juan Bautista Otegui,ARG,1999-02-23
1109,Aleksander Chayka,RUS,2004-10-06
1110,Yuta Tomida,JPN,2006-10-31
1111,Nicolas Bruna,CHI,1999-01-19
1112,Zsombor Velcz,HUN,2002-11-16
1113,Alejo Lorenzo Lingua Lavallen,ARG,2001-03-09
1114,Thomas Deschamps,FRA,1998-07-19
1115,Mathis Bondaz,FRA,
1116,Gage Brymer,USA,1995-02-07
1117,David Poljak,CZE,1996-05-17
1118,Connor Thomson,GBR,2001-01-16
1119,Rudy Quan,USA,2006-02-21
1120,Daniil Kakhniuk,BLR,
1121,Federico Aguilar Cardozo,URU,2005-04-08
1122,Mickael Kaouk,FRA,
1123,Giulio Perego,ITA,2003-04-09
1124,Pengyu Lu,CHN,2002-01-09
1125,Rocco Valente,ARG,2004-07-25
1126,Leonardo Malgaroli,ITA,2002-08-07
1127,Edison Ambarzumjan,GER,1996-07-31
1128,Jefferson Wendler Filho,BRA,1995-09-15
1128,Seung Woo Cho,KOR,1998-04-27
1130,Jasza Szajrych,POL,2002-04-23
1130,Nicolas Garcia Longo,ARG,2005-05-16
1132,Makoto Ochi,JPN,1996-05-03
1133,Charles Bertimon,FRA,1999-09-20
1134,Ali Habib,GBR,2002-11-26
1135,Rafael Tosetto,BRA,1999-06-02
1136,Stefan Vujic,AUS,1998-03-31
1137,Sungbeen Sim,KOR,1997-04-10
1138,Denis Petak,CZE,2006-07-18
1139,Maximilian Figl,ITA,2004-03-29
1140,Niccolo Ciavarella,ITA,2004-03-19
1141,Leyton Rivera,NOR,2001-10-28
1142,Luis David Martinez,VEN,1989-05-12
1143,Martin Klizan,SVK,1989-07-11
1144,Filippo Speziali,ITA,2000-04-24
1144,Siddhant Banthia,IND,2000-08-04
1144,Stian Klaassen,NED,2003-04-19
1147,Cosme Rolland De Ravel,FRA,2004-06-14
1148,Luis Felipe Miguel,BRA,2004-03-10
1149,Cooper Woestendick,USA,2006-11-16
1150,Sasha Rozin,CAN,2005-07-17
1151,Jannik Opitz,GER,1998-04-15
1152,Isaiah Strode,USA,1997-09-15
1153,Chan Yeong Oh,KOR,1998-06-27
1154,Joaquin Guilleme,NIC,
1155,Duje Markovina,CRO,2007-09-12
1156,Martin Sabas,FRA,2001-12-14
1157,Thando Longwe Smit,RSA,2001-06-17
1158,Ryota Tanuma,JPN,1995-09-22
1159,Leonardo Primucci,ITA,
1160,Sebastian Fanselow,GER,1991-12-30
1161,Gregor Ramskogler,AUT,1998-12-05
1162,Ricardo Rodriguez,VEN,1993-04-28
1163,Abhinav Sanjeev Shanmugam,IND,1998-11-15
1164,Leonid Sheyngezikht,BUL,2000-11-04
1165,Xing Dao Chen,CHN,2004-01-16
1166,Mohamed Nazim Makhlouf,ALG,1996-09-12
1166,Nathan Ponwith,USA,1998-04-20
1168,Boris Butulija,SRB,1999-01-04
1169,Ferdinand Livet Novkirichka,FRA,
1170,Noah Perfetti,ITA,2001-06-15
1171,Tomohiro Masabayashi,JPN,1998-03-05
1172,Preston Brown,USA,2001-08-23
1173,Gianluca Mager,ITA,1994-12-01
1174,Derek Pham,AUS,2004-03-31
1174,Keenan Mayo,USA,2000-05-26
1176,Andrea Meduri,ITA,2005-03-08
1176,Mohamed Safwat,EGY,1990-09-19
1178,Andrej Loncarevic,FRA,2005-08-31
1179,Nino Serdarusic,CRO,1996-12-13
1180,Boris Arias,BOL,1993-11-09
1180,Ramkumar Ramanathan,IND,1994-11-08
1182,Mustafa Ege Sik,TUR,2009-09-01
1183,Alexander Bernard,USA,2003-08-13
1184,Tudor Batin,ROU,2007-01-19
1185,Julian Alonso,ESP,2005-02-19
1186,Luis Guto Miguel,BRA,2009-02-26
1187,Anton Arzhankin,RUS,
1187,Lachlan James Mcfadzean,AUS,2007-01-08
1189,Orel Kimhi,ISR,2003-08-19
1190,Denis Constantin Spiridon,ITA,2002-07-02
1191,Valentin Lapalu,FRA,2002-03-13
1192,Matthew Thomson,USA,2000-05-28
1193,Phillip Jordan,USA,2000-11-07
1194,Gian Marco Ortenzi,ITA,2000-02-03
1195,George Lazarov,BUL,2005-03-14
1196,Mikail Alimli,FRA,2003-07-10
1197,Markus Molder,EST,2005-05-10
1198,Jan Hrazdil,CZE,2005-03-04
1199,Marcel Kamrowski,POL,2003-03-28
1200,David Eichenseher,GER,2005-12-27
1200,Viktor Frydrych,GBR,
1202,Aditya Vishal Balsekar,IND,2002-10-23
1203,Enzo Camargo Lima,BRA,2003-09-20
1204,Benjamin O'Connell,AUS,
1205,Nicolo Toffanin,ITA,2003-03-08
1206,Niklas Waldner,AUT,2001-09-20
1207,Toby Martin,GBR,1993-02-19
1208,Noah Thurner,GER,2000-01-27
1209,Duarte Vale,POR,1999-01-11
1210,Takeru Yuzuki,JPN,1998-09-22
1211,Ofek Shimanov,ISR,2005-07-03
1212,Gijs Brouwer,NED,1996-03-14
1213,Sebastian Prechtel,GER,1996-05-14
1214,Stefan Seifert,GER,1985-02-28
1215,Leo Lagarrigue,FRA,2006-08-25
1216,Simon Beaupain,BEL,1999-05-18
1217,Jea Moon Lee,KOR,1993-07-02
1218,Tiago Silva,POR,2004-11-30
1219,Keaton Hance,USA,2008-03-06
1220,Arjun Rathi,IND,
1221,Andreas Timini,CYP,2006-06-26
1222,Jack Loutit,NZL,2004-06-23
1223,Niklas Guttau,GER,2000-01-03
1224,Fons Van Sambeek,NED,2002-02-10
